// Castle Fireworks
// Level 2-2
// [x], [y], [targetX], [targetY], [xSpeed], [ySpeed], [fireworkNumber], [delay]
// Fireworks: 15
// Target Score: 59,000

@520,550,540,50,5,-5,1,3000@

@240,525,260,75,5,-5,3,3000@

@220,550,240,50,5,-5,1,3000@

@150,525,140,75,-5,-5,2,2000@

@200,575,220,25,5,-5,1,3000@

@210,525,200,75,-5,-5,3,2000@

@100,425,120,175,5,-5,2,3000@

@200,550,180,50,-5,-5,2,2000@

@300,450,280,150,-5,-5,1,3000@

@340,520,350,80,5,-5,3,2000@

@360,500,370,100,5,-5,1,3000@

@120,500,140,100,5,-5,3,3000@

@290,525,270,75,-5,-5,2,2000@

@300,550,320,50,5,-5,1,3000@

@360,520,340,80,-5,-5,1,3000@
