// Castle Fireworks
// Level 3-3
// [x], [y], [targetX], [targetY], [xSpeed], [ySpeed], [fireworkNumber], [delay]
// Fireworks: 26
// Target Score: 137,000

@220,550,240,50,5,-5,1,3000@

@340,525,360,75,5,-5,5,3000@

@320,550,340,50,5,-5,1,3000@

@250,525,240,75,-5,-5,4,2000@

@400,575,420,25,5,-5,5,3000@

@110,525,100,75,-5,-5,3,2000@

@100,425,120,100,5,-5,3,3000@

@200,550,180,50,-5,-5,4,2000@

@400,450,380,75,-5,-5,5,3000@

@340,520,350,80,5,-5,2,2000@

@360,500,370,100,5,-5,1,3000@

@320,500,340,100,5,-5,4,3000@

@290,525,270,75,-5,-5,5,2000@

@200,550,220,50,5,-5,1,2000@

@260,520,240,80,-5,-5,4,2000@

@200,550,180,50,-5,-5,1,1000@

@400,450,380,150,-5,-5,4,1000@

@440,520,450,80,5,-5,3,2000@

@460,500,470,100,5,-5,2,2000@

@220,500,240,100,5,-5,5,1000@

@190,525,170,75,-5,-5,1,2000@

@200,550,220,50,5,-5,3,1000@

@260,520,240,80,-5,-5,4,1000@

@190,525,170,75,-5,-5,1,2000@

@200,550,220,50,5,-5,5,1000@

@260,520,240,80,-5,-5,2,1000@
