// Castle Fireworks
// Level 5-3
// [x], [y], [targetX], [targetY], [xSpeed], [ySpeed], [fireworkNumber], [delay]
// Fireworks: 36
// Target Score: 278,000

@350,500,330,100,-5,-5,3,3000@

@480,505,490,75,5,-5,4,3000@

@450,500,470,75,5,-5,5,4000@

@350,505,340,50,-5,-5,1,3000@

@200,505,220,25,5,-5,6,3000@

@310,505,300,100,-5,-5,6,4000@

@500,425,520,100,5,-5,5,3000@

@300,500,280,75,-5,-5,2,4000@

@400,450,380,80,-5,-5,1,1000@

@240,500,250,80,5,-5,3,3000@

@360,500,370,90,5,-5,3,3000@

@250,500,260,100,5,-5,4,4000@

@390,505,370,90,-5,-5,5,6000@

// Right here is when the "Oh shit!" moment starts

@200,350,210,100,5,-5,7,300@
@210,350,220,90,5,-5,7,300@
@220,350,230,90,5,-5,7,300@
@230,350,240,100,5,-5,7,300@
@240,350,250,90,5,-5,7,300@
@250,350,260,100,5,-5,7,300@
@260,350,270,90,5,-5,7,300@
@270,350,280,100,5,-5,7,300@
@280,350,290,100,5,-5,7,300@
@290,350,300,90,5,-5,7,300@
@300,350,310,100,5,-5,7,300@
@310,350,320,90,5,-5,7,300@
@320,350,330,100,5,-5,7,300@
@310,350,320,100,5,-5,7,300@
@300,350,310,90,5,-5,7,300@
@290,350,300,100,5,-5,7,300@
@280,350,290,90,5,-5,7,300@
@270,350,280,100,5,-5,7,300@
@260,350,270,100,5,-5,7,300@
@250,350,260,90,5,-5,7,300@
@240,350,250,100,5,-5,7,300@
@230,350,240,90,5,-5,7,300@
@220,350,230,100,5,-5,7,300@
