// Castle Fireworks
// Level 4-1
// [x], [y], [targetX], [targetY], [xSpeed], [ySpeed], [fireworkNumber], [delay]
// Fireworks: 22
// Target Score: 153,000

@350,550,330,50,-5,-5,1,3000@

@340,525,360,75,5,-5,5,3000@

@220,550,240,50,5,-5,1,3000@

@150,525,140,75,-5,-5,4,2000@

@200,575,220,25,5,-5,5,3000@

@310,525,300,75,-5,-5,3,2000@

@300,425,320,100,5,-5,3,3000@

@400,550,380,50,-5,-5,4,2000@

@500,450,480,75,-5,-5,5,3000@

@440,520,450,80,5,-5,2,2000@

@160,500,170,100,5,-5,1,3000@

@220,500,240,100,5,-5,4,3000@

@290,525,270,75,-5,-5,5,2000@

@300,550,320,50,5,-5,1,2000@

@260,520,240,80,-5,-5,4,2000@

@100,550,80,50,-5,-5,1,1000@

@300,450,280,150,-5,-5,4,1000@

@540,520,550,80,5,-5,3,2000@

@360,500,370,100,5,-5,2,2000@

@320,500,340,100,5,-5,5,1000@

@290,525,270,75,-5,-5,1,2000@

@300,550,320,50,5,-5,3,1000@
