// Castle Fireworks
// Level 5-1
// [x], [y], [targetX], [targetY], [xSpeed], [ySpeed], [fireworkNumber], [delay]
// Fireworks: 24
// Target Score: 223,000

@250,500,230,100,-5,-5,1,3000@

@280,505,290,75,5,-5,5,3000@

@350,500,370,75,5,-5,6,4000@

@450,505,440,50,-5,-5,4,3000@

@500,505,520,25,5,-5,5,3000@

@410,505,400,100,-5,-5,3,4000@

@200,425,220,100,5,-5,6,3000@

@300,500,280,75,-5,-5,4,4000@

@400,450,380,80,-5,-5,5,1000@

@440,500,450,80,5,-5,6,3000@

@360,500,370,90,5,-5,6,3000@

@150,500,160,100,5,-5,4,4000@

@190,505,170,90,-5,-5,5,2000@

@200,500,220,80,5,-5,6,2000@

@400,500,380,75,-5,-5,4,2000@

@380,500,400,50,5,-5,6,3000@

@300,450,280,80,-5,-5,4,1000@

@440,500,450,80,5,-5,3,4000@

@460,500,470,100,5,-5,2,2000@

@420,500,440,90,5,-5,5,3000@

@590,505,570,75,-5,-5,6,2000@

@500,500,520,75,5,-5,3,4000@

@520,500,540,90,5,-5,1,2000@
