// Castle Fireworks
// Level 4-2
// [x], [y], [targetX], [targetY], [xSpeed], [ySpeed], [fireworkNumber], [delay]
// Fireworks: 23
// Target Score: 173,000

@450,550,430,50,-5,-5,1,3000@

@140,525,160,75,5,-5,5,3000@

@120,550,140,50,5,-5,1,3000@

@250,525,240,75,-5,-5,4,2000@

@400,575,420,25,5,-5,5,3000@

@410,525,400,75,-5,-5,3,2000@

@100,425,120,100,5,-5,3,3000@

@600,550,580,50,-5,-5,4,2000@

@500,450,480,75,-5,-5,5,3000@

@340,520,350,80,5,-5,2,2000@

@360,500,370,100,5,-5,1,3000@

@320,500,340,100,5,-5,4,3000@

@290,525,270,75,-5,-5,5,2000@

@300,550,320,50,5,-5,1,2000@

@460,520,440,80,-5,-5,4,2000@

@400,550,380,50,-5,-5,1,1000@

@500,450,480,150,-5,-5,4,1000@

@640,520,650,80,5,-5,3,2000@

@660,500,670,100,5,-5,2,2000@

@520,500,540,100,5,-5,5,1000@

@590,525,570,75,-5,-5,1,2000@

@400,550,420,50,5,-5,3,1000@
