// Castle Fireworks
// Level 4-3
// [x], [y], [targetX], [targetY], [xSpeed], [ySpeed], [fireworkNumber], [delay]
// Fireworks: 27
// Target Score: 199,000

@250,550,230,100,-5,-5,1,3000@

@180,525,190,75,5,-5,5,3000@

@150,550,170,75,5,-5,6,3000@

@350,525,340,50,-5,-5,4,2000@

@500,575,520,25,5,-5,5,3000@

@310,525,300,100,-5,-5,3,2000@

@300,425,320,100,5,-5,6,3000@

@400,550,380,75,-5,-5,4,2000@

@500,450,480,80,-5,-5,5,3000@

@540,520,550,80,5,-5,6,2000@

@260,500,270,90,5,-5,6,3000@

@120,500,140,100,5,-5,4,3000@

@190,525,170,90,-5,-5,5,2000@

@300,550,320,80,5,-5,6,2000@

@400,520,380,75,-5,-5,4,2000@

@380,550,400,50,5,-5,6,1000@

@400,450,380,80,-5,-5,4,1000@

@540,520,550,80,5,-5,3,2000@

@560,500,570,100,5,-5,2,2000@

@620,500,640,90,5,-5,5,1000@

@690,525,670,75,-5,-5,6,2000@

@500,550,520,75,5,-5,3,1000@

@560,500,570,90,5,-5,1,2000@

@520,500,540,100,5,-5,5,1000@

@490,525,470,75,-5,-5,1,2000@

@500,550,520,50,5,-5,6,1000@
