// Castle Fireworks
// Level 3-2
// [x], [y], [targetX], [targetY], [xSpeed], [ySpeed], [fireworkNumber], [delay]
// Fireworks: 19
// Target Score: 112,000

@500,550,480,25,5,-5,1,3000@

@240,500,260,50,5,-5,4,2000@

@220,550,240,50,5,-5,1,3000@

@150,550,140,75,-5,-5,2,2000@

@200,575,220,100,5,-5,3,2000@

@240,550,220,50,-5,-5,4,2000@

@100,425,120,25,5,-5,1,2000@

@200,550,180,25,-5,-5,1,2000@

@320,450,330,25,5,-5,4,1000@

@340,475,350,25,5,-5,4,2000@

@360,500,370,75,5,-5,1,1000@

@200,525,220,75,5,-5,4,3000@

@300,525,310,75,5,-5,1,2000@

@450,500,460,50,5,-5,3,3000@

@360,520,340,40,-5,-5,1,1000@

@320,500,310,30,-5,-5,2,2000@

@340,550,360,20,5,-5,4,1000@

@400,525,380,30,-5,-5,3,1000@

@380,550,360,40,-5,-5,3,2000@
