// Castle Fireworks
// Level 1-2
// [x], [y], [targetX], [targetY], [xSpeed], [ySpeed], [fireworkNumber], [delay]
// Fireworks: 15
// Target Score: 23,000

@180,500,200,100,5,-5,1,3000@

@240,500,220,100,-5,-5,2,2000@

@380,500,400,100,5,-5,1,3000@

@280,550,260,50,-5,-5,2,2000@

@260,500,240,100,-5,-5,1,2000@

@240,550,220,50,-5,-5,2,2000@

@220,500,200,100,-5,-5,2,2000@

@200,550,180,50,-5,-5,1,2000@

@220,500,230,100,5,-5,1,1000@

@240,500,250,100,5,-5,2,1000@

@260,500,270,100,5,-5,1,1000@

@280,500,290,100,5,-5,2,1000@

@300,500,310,100,5,-5,1,2000@

@260,500,280,100,5,-5,2,2000@

@280,500,260,100,-5,-5,2,2000@
